N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
79,삼성카드,"32,700",200,-0.61%,"5,000","37,886","115,859",10.60,"196,263",9.19,5.04,
80,LG화학우,"490,000","11,000",+2.30%,"5,000","37,675","7,689",62.10,"131,938",45.78,N/A,
81,삼성증권,"41,550","1,500",-3.48%,"5,000","37,104","89,300",25.93,"1,117,697",7.89,8.15,
82,GS,"39,750",800,-1.97%,"5,000","36,934","92,915",19.47,"518,578",-43.11,6.26,
83,키움증권,"147,000","6,000",-3.92%,"5,000","35,322","24,029",22.27,"254,232",6.49,16.97,
84,더존비즈온,"116,000","1,000",+0.87%,500,"34,937","30,118",46.41,"116,816",72.09,18.78,
85,두산퓨얼셀,"52,900","1,100",-2.04%,100,"34,646","65,494",18.55,"843,352",155.13,N/A,
86,대웅,"59,000",200,+0.34%,500,"34,304","58,142",5.22,"3,187,033",67.97,10.43,
87,CJ,"116,500","1,500",+1.30%,"5,000","33,991","29,177",20.54,"425,364",19.35,6.24,
88,롯데쇼핑,"119,500","3,500",-2.85%,"5,000","33,805","28,289",11.52,"256,866",-2.52,-8.14,
89,GS건설,"41,900","1,000",-2.33%,"5,000","33,675","80,370",27.30,"763,650",10.96,11.79,
90,만도,"71,700","1,900",-2.58%,"1,000","33,668","46,957",25.67,"1,180,831",-60.71,7.55,
91,에스원,"87,700",0,0.00%,500,"33,325","37,999",56.06,"100,828",23.08,11.32,
92,호텔신라,"84,900",0,0.00%,"5,000","33,322","39,248",19.83,"786,566",-25.77,20.16,
93,NH투자증권,"11,750",300,-2.49%,"5,000","33,066","281,409",15.08,"1,957,889",5.71,9.12,
94,쌍용양회,"6,530",110,-1.66%,100,"32,902","503,860",3.25,"1,593,454",26.22,7.02,
95,두산밥캣,"32,450",900,-2.70%,500,"32,531","100,249",21.63,"496,495",17.56,7.05,
96,동서,"32,100",900,-2.73%,500,"32,004","99,700",4.13,"229,513",23.14,10.53,
97,한국가스공사,"33,800",800,-2.31%,"5,000","31,202","92,313",8.93,"1,100,061",-6.22,0.48,
98,DB손해보험,"43,150",200,-0.46%,500,"30,550","70,800",41.32,"195,198",5.50,6.92,
99,TIGER 200,"42,560",920,-2.12%,0,"30,537","71,750",1.75,"1,908,757",N/A,N/A,
100,대우조선해양,"27,750",750,-2.63%,"5,000","29,773","107,291",9.33,"359,403",17.08,-1.22,
101,대림산업,"83,000",0,0.00%,"5,000","28,884","34,800",32.33,0,4.39,11.74,
102,현대차우,"117,000","2,500",-2.09%,"5,000","28,497","24,357",55.68,"649,178",27.96,N/A,
103,휠라홀딩스,"45,950","1,100",-2.34%,"1,000","27,916","60,752",48.63,"364,989",15.49,23.81,
104,씨에스윈드,"161,000","4,500",-2.72%,500,"27,830","17,286",8.74,"185,121",56.14,9.92,
105,GS리테일,"35,700",900,-2.46%,"1,000","27,489","77,000",14.85,"319,066",16.27,6.25,
106,일진머티리얼즈,"59,000","1,800",-2.96%,500,"27,205","46,111",8.81,"592,588",61.20,8.52,
107,한국항공우주,"27,750",450,+1.65%,"5,000","27,049","97,475",14.63,"1,198,811",20.43,15.84,
108,삼성엔지니어링,"13,700",300,-2.14%,"5,000","26,852","196,000",24.69,"2,219,235",10.51,24.62,
109,한화생명,"3,070",100,-3.15%,"5,000","26,664","868,530",7.31,"7,394,434",11.67,0.51,
110,DB하이텍,"59,900",500,+0.84%,"5,000","26,595","44,399",26.38,"1,775,443",16.16,17.40,
111,현대오토에버,"125,000","4,500",-3.47%,500,"26,250","21,000",1.12,"135,314",45.67,11.71,
112,팬오션,"4,755",215,-4.33%,"1,000","25,419","534,570",11.71,"3,402,766",18.79,5.49,
113,하이트진로,"35,750",850,-2.32%,"5,000","25,073","70,134",9.01,"837,132",33.79,-3.86,
114,BGF리테일,"145,000","6,500",-4.29%,"1,000","25,062","17,284",31.30,"74,631",19.15,26.46,
115,메리츠증권,"3,685",95,-2.51%,"1,000","24,909","675,962",13.28,"3,496,738",4.61,15.06,
116,대우건설,"5,930",120,-1.98%,"5,000","24,646","415,623",8.26,"5,693,547",12.81,8.80,
117,OCI,"102,500","5,500",-5.09%,"5,000","24,446","23,849",19.96,"412,149",-3.31,-26.20,
118,신세계,"247,500","6,500",-2.56%,"5,000","24,367","9,845",24.70,"189,002",-7.95,14.24,
119,한샘,"103,000","1,000",-0.96%,"1,000","24,240","23,534",23.21,"142,222",36.17,7.32,
120,제일기획,"20,400",650,-3.09%,200,"23,468","115,041",32.96,"656,254",17.29,15.09,
121,한화,"31,200",500,+1.63%,"5,000","23,387","74,959",20.10,"1,334,602",12.71,2.09,
122,LS,"71,900",900,-1.24%,"5,000","23,152","32,200",12.75,"305,143",-998.61,0.80,
123,종근당,"210,500","18,000",-7.88%,"2,500","22,914","10,886",13.37,"592,724",24.97,11.94,
124,현대로템,"20,350",650,-3.10%,"5,000","22,210","109,142",4.72,"1,923,417",-11.56,-37.93,
125,녹십자홀딩스,"47,200","3,400",+7.76%,500,"22,197","47,028",6.94,"8,601,495",44.61,0.37,
126,한솔케미칼,"195,500","2,500",+1.30%,"5,000","22,082","11,295",39.61,"91,155",18.81,20.88,
127,오뚜기,"573,000","6,000",-1.04%,"5,000","21,040","3,672",16.39,"9,000",19.36,7.79,
128,한화시스템,"18,600",300,+1.64%,"5,000","20,503","110,230",2.65,"1,027,183",26.35,8.15,
129,현대위아,"75,300","3,900",-4.92%,"5,000","20,478","27,195",11.05,"842,430",16.27,1.80,
130,대웅제약,"174,000","4,000",+2.35%,"2,500","20,161","11,587",5.10,"553,763","-1,216.78",4.34,
131,KODEX 200선물인버스2X,"2,135",90,+4.40%,0,"20,060","939,600",2.36,"539,776,232",N/A,N/A,
132,현대미포조선,"50,100","2,100",-4.02%,"5,000","20,011","39,942",13.29,"558,219",43.12,2.31,
133,현대해상,"22,350",100,-0.45%,500,"19,981","89,400",37.57,"779,190",5.48,6.23,
134,LS ELECTRIC,"65,800","2,400",-3.52%,"5,000","19,740","30,000",13.93,"343,600",25.36,7.82,
135,BNK금융지주,"5,880",110,-1.84%,"5,000","19,165","325,935",38.20,"2,149,834",3.99,7.07,
136,포스코인터내셔널,"15,250",50,+0.33%,"5,000","18,815","123,375",11.27,"1,016,338",8.41,7.06,
137,현대백화점,"79,000","1,000",-1.25%,"5,000","18,488","23,402",14.53,"225,380",16.19,4.64,
138,KODEX 단기채권,"102,665",5,0.00%,0,"18,359","17,882",3.36,"29,955",N/A,N/A,
139,대한유화,"281,000","3,000",-1.06%,"5,000","18,265","6,500",19.12,"93,100",20.57,6.11,
140,HDC현대산업개발,"27,650",700,-2.47%,"5,000","18,223","65,907",10.48,"1,038,791",6.86,20.30,
141,한화에어로스페이스,"35,950","3,450",+10.62%,"5,000","18,201","50,630",18.65,"3,379,943",25.21,5.45,
142,명신산업,"44,600","2,700",-5.71%,500,"18,187","40,779",1.22,"2,034,463",N/A,53.84,
143,한올바이오파마,"34,700",100,+0.29%,500,"18,128","52,241",7.43,"403,846",92.04,14.90,
144,농심,"297,500","2,500",-0.83%,"5,000","18,096","6,083",18.28,"58,319",13.35,3.72,
145,KCC,"202,500","2,500",-1.22%,"5,000","17,995","8,886",11.76,"36,562",-642.86,-4.37,
146,메리츠화재,"14,900",150,-1.00%,500,"17,973","120,625",10.00,"463,777",4.37,12.80,
147,두산인프라코어,"8,260",380,-4.40%,"5,000","17,834","215,913",5.93,"6,459,606",10.66,11.59,
148,현대엘리베이,"43,050",950,-2.16%,"5,000","17,571","40,815",25.66,"393,951",19.28,5.22,
149,KODEX 레버리지,"27,315","1,190",-4.17%,0,"17,536","64,200",1.52,"60,075,761",N/A,N/A,
150,KODEX MSCI Korea TR,"13,820",295,-2.09%,0,"17,247","124,800",10.30,"653,152",N/A,N/A,
151,KODEX 삼성그룹,"10,805",170,-1.55%,0,"16,899","156,400",0.03,"730,823",N/A,N/A,
152,부광약품,"26,050","1,100",-4.05%,500,"16,890","64,838",4.92,"1,905,806","13,025.00",-2.00,
153,KODEX 200TR,"13,690",310,-2.21%,0,"16,325","119,250",0.08,"289,403",N/A,N/A,
154,TIGER MSCI Korea TR,"17,350",375,-2.12%,0,"16,274","93,800",0.00,"300,009",N/A,N/A,
155,효성,"77,000",200,-0.26%,"5,000","16,225","21,071",6.51,"211,096",-36.10,4.25,
156,아이에스동서,"52,400","1,300",-2.42%,500,"16,188","30,893",5.40,"143,793",12.63,6.10,
157,솔루스첨단소재,"51,600",900,-1.71%,100,"15,784","30,590",9.60,"643,162",149.13,N/A,
158,F&F,"101,000",500,-0.49%,500,"15,554","15,400",9.57,"148,767",17.85,25.13,
159,KODEX 종합채권(AA-이상)액티브,"110,055",15,-0.01%,0,"15,128","13,746",0.00,"42,120",N/A,N/A,
160,지누스,"105,000","1,000",-0.94%,500,"15,127","14,407",22.53,"87,702",21.19,26.32,
161,LG생활건강우,"704,000","3,000",+0.43%,"5,000","14,782","2,100",84.49,"5,722",15.77,N/A,
162,NHN,"75,400","1,000",-1.31%,500,"14,752","19,565",11.76,"108,678",50.23,0.78,
163,영원무역,"33,250",600,-1.77%,500,"14,734","44,311",23.72,"202,848",9.00,9.82,
164,롯데정밀화학,"55,500",900,-1.60%,"5,000","14,319","25,800",22.85,"161,029",8.37,11.73,
165,한국테크놀로지그룹,"14,800",0,0.00%,500,"13,767","93,020",7.04,"311,715",12.35,4.71,
166,영진약품,"7,360",80,-1.08%,500,"13,461","182,893",4.27,"1,237,182","-1,840.00",4.43,
167,아시아나항공,"18,000",0,0.00%,"5,000","13,394","74,412",20.32,"25,104,787",-1.56,-90.67,
168,메리츠금융지주,"9,870",30,-0.30%,500,"13,227","134,011",8.26,"132,129",2.84,15.26,
169,한전KPS,"28,250",100,-0.35%,200,"12,712","45,000",11.09,"226,495",10.49,14.98,
170,이노션,"62,700","1,000",-1.57%,500,"12,540","20,000",29.61,"91,489",19.53,9.88,
171,SK네트웍스,"5,040",30,-0.59%,"2,500","12,509","248,188",12.35,"961,396",-21.82,-5.85,
172,신세계인터내셔날,"174,500","2,000",-1.13%,"5,000","12,459","7,140",5.06,"85,555",27.63,12.98,
173,DGB금융지주,"7,340",50,-0.68%,"5,000","12,415","169,146",47.37,"726,942",3.74,7.31,
174,세방전지,"87,500","5,600",+6.84%,500,"12,250","14,000",26.57,"522,552",16.58,7.70,
175,한국콜마,"53,500","1,800",+3.48%,500,"12,241","22,881",27.99,"945,902",38.49,6.39,
176,KBSTAR 200,"42,680",935,-2.14%,0,"11,993","28,100",0.12,"878,517",N/A,N/A,
177,KG동부제철,"11,850",0,0.00%,"5,000","11,851","100,009",0.18,"279,720",14.38,-7.44,
178,SK디스커버리,"61,200",900,-1.45%,"5,000","11,651","19,038",9.72,"80,899",4.02,11.52,
179,KODEX 코스닥150 레버리지,"15,985",745,-4.45%,0,"11,525","72,100",2.80,"18,835,627",N/A,N/A,
180,JB금융지주,"5,820",60,-1.02%,"5,000","11,464","196,983",39.29,"495,349",3.31,10.36,
181,코오롱인더,"42,450",850,-1.96%,"5,000","11,453","26,979",15.60,"316,064",7.60,1.58,
182,더블유게임즈,"62,200","1,900",-2.96%,500,"11,429","18,375",14.47,"159,673",10.67,18.93,
183,대한전선,"1,330",15,-1.12%,500,"11,391","856,473",1.87,"3,476,843",-73.89,-3.99,
184,KODEX 인버스,"3,940",90,+2.34%,0,"11,355","288,200",2.49,"123,378,540",N/A,N/A,
185,일양약품,"59,100","1,000",-1.66%,"2,500","11,280","19,086",7.85,"192,806",109.24,5.20,
186,후성,"12,050",50,-0.41%,500,"11,159","92,607",4.52,"2,547,185",-219.09,3.85,
187,금호타이어,"3,870",5,-0.13%,"5,000","11,117","287,260",4.68,"1,072,136",-11.09,-3.30,
188,롯데칠성,"123,500","4,500",-3.52%,500,"11,084","8,975",10.94,"64,353",-12.67,-11.68,
